Date,Headline,Sentence
"MAY 26, 2020","Apple to reopen about 100 stores in U.S., most with curbside pickup","Apple Inc said on Tuesday that it plans to reopen about 100 stores in the United States, most with curbside pickup but some with walk-in service."
"MAY 26, 2020",Softbank's Arm releases chip tech for high-end Android devices,"Arm Ltd, the semiconductor firm owned by Japan's Softbank Group Corp, on Tuesday released new technology aimed at helping Android devices catch up to Apple Inc's iPhones for certain computing tasks such as video games."
"MAY 21, 2020",Irish regulator questions Apple over recordings,"Ireland's Data Protection Commissioner (DPC), Apple's main regulator in the European Union, on Thursday said it was in contact with the company after a whistleblower called for action over a programme that listens to users' recordings."
"MAY 21, 2020","In SoftBank slides, tofu, a goose and unicorns underpin sales pitch","A chastened Masayoshi Son summed up SoftBank Group Corp's <9984.T> record $13 billion operating loss on stage this week with a striking image: unicorns tumbling into the ""valley of the coronavirus""."
"MAY 20, 2020",Apple and Google still in talks with UK about COVID-19 app technology,Apple and Google said they were continuing to talk to the British government about the technology used in its smartphone COVID-19 contact tracing app as the two companies released the initial version of their own system.
"MAY 20, 2020","Apple-Google contact tracing tech draws interest in 23 countries, some hedge bets","Authorities in 23 countries across five continents have sought access to contact tracing technology from Apple Inc and Alphabet Inc’s Google, the companies announced on Wednesday as they released the initial version of their system."
"MAY 19, 2020","Japan's Sharp reports 37% profit drop, gives no forecasts","Japan's Sharp Corp, an Apple Inc supplier, reported a 37% decline in annual operating profit and refrained from releasing an earnings outlook for the current year because of uncertainty over the novel coronavirus impact."
"MAY 17, 2020","Apple reopening 25 more U.S. stores, will soon top 100 worldwide","Apple Inc will this week reopen more than 25 of its branded stores in the United States, the company said on Sunday, continuing a gradual process that has unlocked doors at nearly a fifth of its worldwide retail outlets."
"MAY 17, 2020","Apple reopening 25 more U.S. stores, will soon top 100 worldwide","Apple Inc will this week reopen more than 25 of its branded stores in the United States, a company spokesman said on Sunday, continuing a gradual process that has unlocked doors at nearly a fifth of its worldwide retail outlets."
"MAY 15, 2020",Pompeo says TSMC's $12 billion investment to increase U.S. economic independence from China,"Chipmaker Taiwan Semiconductor Manufacturing Co's <2330.TW> $12 billion investment in the United States will increase U.S. economic independence from China, Secretary of State Mike Pompeo said in a statement early on Friday."
"MAY 12, 2020",MEDIA-Apple plans to return more staff to offices in break from rivals - Bloomberg News,-- Note: Reuters has not verified this story and does not vouch for its accuracy
"MAY 8, 2020",Apple to reopen some stores in United States next week,"Apple Inc <AAPL.O> said Friday it will reopen a handful of stores in four U.S. states starting next week, in the first resumption of physical retail operations since the iPhone maker shuttered all U.S. stores in mid-March."
"MAY 8, 2020",MEDIA-Apple to produce millions of 'made in Vietnam' AirPods amid pandemic - Nikkei,-- Note: Reuters has not verified this story and does not vouch for its accuracy
"MAY 8, 2020",Japan's Sharp halves full-year profit forecast as virus hits tech demand,"Japan's Sharp Corp, an Apple Inc supplier, cut its full-year profit forecast by 48% on Friday, as demand for technology devices took a hit from the coronavirus outbreak."
"MAY 7, 2020",BRIEF-Apple Awards $10 Mln From Advanced Manufacturing Fund To COPAN Diagnostics,* APPLE AWARDS $10 MILLION FROM ADVANCED MANUFACTURING FUND TO COPAN DIAGNOSTICS
"MAY 6, 2020",Apple faces class action over 'inferior' iPhone antenna,"Apple has been sued by a group of consumers alleging that its iPhone XR, released in 2018, had an inferior antenna to other iPhones."
"APRIL 3, 2017",BRIEF-Schaeffler Q1 EBIT At EUR -88.0 Mln,* SCHAEFFLER REPORTS ROBUST EARNINGS AND STRONG FREE CASH FLOW FOR 1ST QUARTER 2020
"MAY 5, 2020","Breakingviews - Corona Capital: Apple bonds, DuPont’s priorities","Corona Capital is a daily column updated throughout the day by Breakingviews columnists around the world with short, sharp pandemic-related insights."
"MAY 5, 2020","FACTBOX-Apple, Costco, J&J among few to hike dividend during coronavirus crisis","A small but diverse list of companies including Apple Inc, Costco Wholesale Corp, Johnson & Johnson and Procter & Gamble have all raised their quarterly dividends over the last few weeks, bucking the wider trend of companies across the globe cutting dividend to preserve..."
"MAY 5, 2020",Apple to hold annual developers event online from June 22,Apple Inc said on Tuesday its annual developers conference will start on June 22 and attendees would be able to stream the event for free on its developer app or website.
"MAY 5, 2020",France accuses Apple of refusing help with 'StopCovid' app,"France accused Apple <APPL.O> on Tuesday of undermining its effort to fight the coronavirus by refusing to help make its iPhones more compatible with a planned ""StopCovid"" contact-tracing app."
"MAY 4, 2020","Apple, Google ban use of location tracking in contact tracing apps",Apple Inc and Alphabet Inc's Google on Monday said they would ban the use of location tracking in apps that use a new contact tracing system the two are building to help slow the spread of the novel coronavirus.
"MAY 4, 2020","Apple borrows on the cheap to fund buybacks, dividends","Apple Inc <AAPL.O> on Monday capitalized on the Federal Reserve's emergency measures in response to the coronavirus outbreak to issue its cheapest bonds in years, making it the latest blue-chip company to do so to fund stock buybacks and dividends."
"MAY 4, 2020",Apple launches new MacBook Pro with updated keyboard,"Apple Inc on Monday launched an updated version of its MacBook Pro with modified keyboards, as the laptop line had faced criticism for typing-related problems, while boosting performance and adding storage."
"MAY 4, 2020",Apple launches new MacBook Pro,"Apple Inc on Monday launched a new version of its 13-inch MacBook Pro laptop with double the storage compared to its previous generation models as well as a faster 10th-generation processor, the company said."
"MAY 1, 2020",US STOCKS SNAPSHOT-Wall St slides at open as Trump warns of new tariffs on China,"U.S. stocks fell at open on Friday after President Donald Trump threatened to slap new tariffs on China over the coronavirus crisis, while Apple and Amazon became the latest companies to warn of more pain in the future."
"MAY 1, 2020",US STOCKS-Futures slide as Trump threatens new tariffs on China,"U.S. stock index futures slid on Friday after President Donald Trump threatened to slap new tariffs on China over the coronavirus crisis, while Apple and Amazon became the latest companies to warn of more pain in the future."
"APRIL 30, 2020","Apple, Huawei boost market share, as first-quarter China smartphone shipments fall: Canalys","Apple Inc and Huawei Technologies [HWT.UL] each captured a higher share of China's smartphone market in the first quarter, according to data from research firm Canalys released on Friday."
"APRIL 30, 2020",Apple sales inch higher despite coronavirus but CEO Tim Cook sees uncertain future,"Apple Inc reported sales and profits that beat Wall Street expectations Thursday, with Chief Executive Officer Tim Cook saying China sales were ""headed in the right direction"" as that country reopens from the novel coronavirus."
"APRIL 30, 2020","BRIEF-Apple CEO Tim Cook Says Austria, Australia Apple Stores To Reopen In 1 To 2 Weeks - Bloomberg News Interview","* APPLE CEO TIM COOK SAYS AUSTRIA, AUSTRALIA APPLE STORES TO REOPEN IN 1 TO 2 WEEKS - BLOOMBERG NEWS INTERVIEW"
"APRIL 30, 2020",Breakingviews - Apple may bruise but it should still bounce back,"A must-have gadget has become a can-probably-wait. Apple’s sales of iPhones fell 7% in the quarter ending March 28, and the fall in the following three months should be worse. That is both predictable, and self-limiting. Apple should bounce back."
"APRIL 30, 2020",Apple reports higher sales as China reopens after coronavirus but gives no forecast,"Apple Inc reported sales and profits that beat Wall Street expectations Thursday, with Chief Executive Officer Tim Cook saying China sales were ""headed in the right direction"" as that country reopens from the novel coronavirus."
"APRIL 30, 2020",Global smartphone output to plunge by record 16.5% in June quarter: TrendForce,"Global smartphone production is expected to slump a record 16.5% to 287 million phones in the June quarter from a year earlier as the coronavirus pandemic muzzles demand, TrendForce said https://press.trendforce.com/press/20200430-3357.html, despite supply chains resuming..."
"APRIL 29, 2020","Apple, Google to release early versions of contact tracing tool to developers","Apple Inc and Alphabet Inc's Google would release two early versions this week of their proposed technology to slow coronavirus spread to select developers for testing purposes, the companies said on Wednesday."
"APRIL 28, 2020","China discounts, cheaper iPhone to cushion Apple from virus blow to demand",Apple Inc's <AAPL.O> discounts on the iPhone 11 in China and the release of a new low-price SE model have put the company in a better position than rivals to weather a coronavirus-related plunge in global smartphone demand.
"APRIL 27, 2020",Apple to delay mass production of 2020 flagship iPhones: WSJ,"Apple Inc <AAPL.O> is delaying the production ramp-up of its flagship iPhones coming later this year by about a month as the coronavirus pandemic has weakened global consumer demand and disrupted manufacturing across Asia, the Wall Street Journal reported https://www.wsj.com..."
"APRIL 27, 2020",Apple to delay mass production of 2020 flagship iPhones - WSJ,"Apple Inc is delaying the production ramp-up of its flagship iPhones coming later this year by about a month as the coronavirus pandemic has weakened global consumer demand and disrupted manufacturing across Asia, the Wall Street Journal reported https://www.wsj.com/articles..."
"APRIL 24, 2020",Tech titans Apple and Microsoft propel Wall Street rally,"Wall Street rallied on Friday, led higher by Apple and Microsoft as investors finished a turbulent week of trading and some states prepared to relax coronavirus-related lockdowns."
"APRIL 24, 2020",US STOCKS-Tech titans Apple and Microsoft push Wall St higher,"* Indexes: Dow +0.55%, S&P 500 +0.84%, Nasdaq +1.05% (Updates to afternoon)"
"APRIL 24, 2020","Apple, Google update coronavirus contact tracing tech ahead of launch","Apple Inc <AAPL.O> and Alphabet Inc's <GOOGL.O> Google on Friday updated technical details of the coronavirus contact tracing system they plan to release next month, saying new features would strengthen privacy protections and give health authorities more detailed data."
"APRIL 23, 2020",Apple plans to sell Macs with its own chips from 2021: Bloomberg,"Apple Inc <AAPL.O> plans to sell Mac computers with its own main processors by next year based on the chip designs currently used in its iPhones and iPads, Bloomberg reported on Thursday."
"APRIL 23, 2020",Apple plans to sell Macs with its own chips from 2021 - Bloomberg,"Apple Inc plans to sell Mac computers with its own main processors by next year based on the chip designs currently used in its iPhones and iPads, Bloomberg reported on Thursday."
"APRIL 23, 2020",Apple supplier LG Display posts wider first-quarter loss as pandemic dents demand,"Apple Inc supplier LG Display Co Ltd warned of a sharp contraction in demand for TVs and smartphones as a result of the new coronavirus outbreak in the current quarter, after widening its first-quarter losses."
"APRIL 22, 2020","Flaw in iPhone, iPads may have allowed hackers to steal data for years",Apple Inc is planning to fix a flaw that a security firm said may have left more than half a billion iPhones vulnerable to hackers.
"APRIL 22, 2020","Flaw in iPhone, iPads may have allowed hackers to steal data for years",Apple Inc is planning to fix a flaw that a security firm said may have left more than half a billion iPhones vulnerable to hackers.
"APRIL 21, 2020",Apple expands services business to markets in Africa and beyond,"Apple Inc <AAPL.O> on Tuesday said it would expand its App Store, Apple Music and other services to dozens of new markets in Africa, the Middle East and beyond in the biggest geographical expansion of its services in almost a decade."
"APRIL 17, 2020","Goldman predicts 36% drop in iPhone shipment, says time to sell Apple shares","Goldman Sachs said on Friday it expects iPhone shipment to drop 36% during the current quarter due to coronavirus-related lockdowns around the world and downgraded Apple Inc stock to ""sell""."
"APRIL 17, 2020","Goldman predicts 36% drop in iPhone shipment, says time to sell Apple shares","Goldman Sachs said on Friday it expects iPhone shipment to drop 36% during the third quarter due to coronavirus-related lockdowns around the world and downgraded Apple Inc stock to ""sell""."
"APRIL 16, 2020",Apple to reopen its sole branded store in South Korea on April 18,"Apple Inc said on Thursday it would reopen its sole retail store in South Korea on April 18, marking it the first site to return to business after it closed all stores outside Greater China last month due to the coronavirus outbreak."
